Generation,Strategy,Share,Mean,CI_lower,CI_upper,Population,Total_Generations,Mutation,SCB,Rounds,Repeats,Seed,Epsilon,payoffs
15,CAUTIOUS,0.012394,4.93484,2.17447,7.69522,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
15,CONTRITE,0.256379,5.9986,2.64789,9.34931,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
15,PAVLOV,0.256379,5.9986,2.64789,9.34931,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
15,GRIM,0.217752,5.98698,2.64267,9.3313,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
16,ALLC,0.257758,5.99901,2.64794,9.35008,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
16,CAUTIOUS,0.0102196,4.93384,2.17388,7.69381,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
16,CONTRITE,0.257032,5.99884,2.64787,9.34982,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
16,PAVLOV,0.257032,5.99884,2.64787,9.34982,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
16,GRIM,0.217958,5.98926,2.64356,9.33496,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
17,ALLC,0.258306,5.99918,2.64791,9.35045,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
17,CAUTIOUS,0.00842121,4.93301,2.17338,7.69264,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
17,CONTRITE,0.257572,5.99905,2.64785,9.35024,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
17,PAVLOV,0.257572,5.99905,2.64785,9.35024,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
17,GRIM,0.218128,5.99114,2.6443,9.33799,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
18,ALLC,0.258758,5.99933,2.64788,9.35077,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
18,CAUTIOUS,0.00693559,4.93233,2.17297,7.69168,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
18,CONTRITE,0.258019,5.99921,2.64783,9.35059,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
18,PAVLOV,0.258019,5.99921,2.64783,9.35059,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
18,GRIM,0.218269,5.9927,2.64491,9.3405,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
19,ALLC,0.259132,5.99945,2.64786,9.35103,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
19,CAUTIOUS,0.00570953,4.93176,2.17264,7.69088,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
19,CONTRITE,0.258387,5.99935,2.64782,9.35088,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
19,PAVLOV,0.258387,5.99935,2.64782,9.35088,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
19,GRIM,0.218385,5.99399,2.64541,9.34257,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
20,ALLC,0.25944,5.99954,2.64784,9.35124,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
20,CAUTIOUS,0.00469849,4.93129,2.17236,7.69023,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
20,CONTRITE,0.258691,5.99947,2.64781,9.35112,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
20,PAVLOV,0.258691,5.99947,2.64781,9.35112,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
20,GRIM,0.21848,5.99505,2.64582,9.34428,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
21,ALLC,0.259693,5.99962,2.64783,9.35142,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
21,CAUTIOUS,0.00386532,4.93091,2.17212,7.68969,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
21,CONTRITE,0.258941,5.99956,2.6478,9.35132,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
21,PAVLOV,0.258941,5.99956,2.6478,9.35132,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
21,GRIM,0.218559,5.99593,2.64617,9.34569,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
22,ALLC,0.259902,5.99969,2.64781,9.35157,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
22,CAUTIOUS,0.00317911,4.93059,2.17193,7.68924,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
22,CONTRITE,0.259147,5.99964,2.64779,9.35149,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
22,PAVLOV,0.259147,5.99964,2.64779,9.35149,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
22,GRIM,0.218624,5.99665,2.64645,9.34685,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
23,ALLC,0.260074,5.99975,2.6478,9.35169,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
23,CAUTIOUS,0.00261418,4.93033,2.17178,7.68888,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
23,CONTRITE,0.259317,5.9997,2.64778,9.35162,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
23,PAVLOV,0.259317,5.9997,2.64778,9.35162,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
23,GRIM,0.218678,5.99724,2.64668,9.34781,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
24,ALLC,0.260216,5.99979,2.64779,9.35179,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
24,CAUTIOUS,0.00214928,4.93011,2.17165,7.68857,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
24,CONTRITE,0.259456,5.99976,2.64778,9.35173,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
24,PAVLOV,0.259456,5.99976,2.64778,9.35173,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
24,GRIM,0.218722,5.99773,2.64687,9.3486,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
25,ALLC,0.260332,5.99983,2.64779,9.35187,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
25,CAUTIOUS,0.0017668,4.92993,2.17154,7.68833,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
25,CONTRITE,0.259571,5.9998,2.64777,9.35182,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
25,PAVLOV,0.259571,5.9998,2.64777,9.35182,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
25,GRIM,0.218758,5.99814,2.64703,9.34925,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
26,ALLC,0.260428,5.99986,2.64778,9.35194,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
26,CAUTIOUS,0.00145223,4.92979,2.17145,7.68812,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
26,CONTRITE,0.259666,5.99984,2.64777,9.3519,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
26,PAVLOV,0.259666,5.99984,2.64777,9.3519,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
26,GRIM,0.218788,5.99847,2.64716,9.34978,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
27,ALLC,0.260507,5.99988,2.64778,9.35199,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
27,CAUTIOUS,0.00119355,4.92967,2.17138,7.68795,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
27,CONTRITE,0.259744,5.99986,2.64777,9.35196,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
27,PAVLOV,0.259744,5.99986,2.64777,9.35196,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
27,GRIM,0.218812,5.99874,2.64726,9.35022,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
28,ALLC,0.260572,5.9999,2.64777,9.35204,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
28,CAUTIOUS,0.000980876,4.92957,2.17132,7.68782,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
28,CONTRITE,0.259807,5.99989,2.64776,9.35201,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
28,PAVLOV,0.259807,5.99989,2.64776,9.35201,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
28,GRIM,0.218833,5.99897,2.64735,9.35058,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
29,ALLC,0.260625,5.99992,2.64777,9.35208,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
29,CAUTIOUS,0.000806044,4.92949,2.17127,7.6877,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
29,CONTRITE,0.25986,5.99991,2.64776,9.35205,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
29,PAVLOV,0.25986,5.99991,2.64776,9.35205,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
29,GRIM,0.218849,5.99915,2.64742,9.35088,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
30,ALLC,0.260669,5.99994,2.64776,9.35211,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
30,CAUTIOUS,0.00066234,4.92942,2.17123,7.68761,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
30,CONTRITE,0.259903,5.99992,2.64776,9.35209,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
30,PAVLOV,0.259903,5.99992,2.64776,9.35209,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
30,GRIM,0.218863,5.9993,2.64748,9.35112,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
31,ALLC,0.260705,5.99995,2.64776,9.35213,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
31,CAUTIOUS,0.000544233,4.92937,2.1712,7.68753,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
31,CONTRITE,0.259939,5.99994,2.64776,9.35212,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
31,PAVLOV,0.259939,5.99994,2.64776,9.35212,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
31,GRIM,0.218874,5.99943,2.64753,9.35132,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
32,ALLC,0.260734,5.99996,2.64776,9.35215,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
32,CAUTIOUS,0.00044717,4.92932,2.17117,7.68747,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
32,CONTRITE,0.259968,5.99995,2.64776,9.35214,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
32,PAVLOV,0.259968,5.99995,2.64776,9.35214,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
32,GRIM,0.218883,5.99953,2.64757,9.35149,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
33,ALLC,0.260758,5.99996,2.64776,9.35217,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
33,CAUTIOUS,0.000367408,4.92928,2.17115,7.68742,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
33,CONTRITE,0.259992,5.99996,2.64776,9.35216,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
33,PAVLOV,0.259992,5.99996,2.64776,9.35216,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
33,GRIM,0.218891,5.99961,2.6476,9.35162,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
34,ALLC,0.260778,5.99997,2.64776,9.35218,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
34,CAUTIOUS,0.000301866,4.92925,2.17113,7.68738,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
34,CONTRITE,0.260011,5.99997,2.64776,9.35218,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
34,PAVLOV,0.260011,5.99997,2.64776,9.35218,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
34,GRIM,0.218897,5.99968,2.64763,9.35174,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
35,ALLC,0.260795,5.99998,2.64776,9.3522,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
35,CAUTIOUS,0.000248011,4.92923,2.17111,7.68734,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
35,CONTRITE,0.260028,5.99997,2.64775,9.35219,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
35,PAVLOV,0.260028,5.99997,2.64775,9.35219,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
35,GRIM,0.218902,5.99974,2.64765,9.35183,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
36,ALLC,0.260808,5.99998,2.64776,9.3522,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
36,CAUTIOUS,0.000203761,4.92921,2.1711,7.68731,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
36,CONTRITE,0.260041,5.99998,2.64775,9.3522,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
36,PAVLOV,0.260041,5.99998,2.64775,9.3522,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
36,GRIM,0.218906,5.99979,2.64767,9.3519,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
37,ALLC,0.260819,5.99998,2.64775,9.35221,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
37,CAUTIOUS,0.000167403,4.92919,2.17109,7.68729,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
37,CONTRITE,0.260052,5.99998,2.64775,9.35221,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
37,PAVLOV,0.260052,5.99998,2.64775,9.35221,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
37,GRIM,0.21891,5.99982,2.64768,9.35196,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
38,ALLC,0.260828,5.99999,2.64775,9.35222,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
38,CAUTIOUS,0.000137532,4.92918,2.17108,7.68727,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
38,CONTRITE,0.260061,5.99998,2.64775,9.35222,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
38,PAVLOV,0.260061,5.99998,2.64775,9.35222,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
38,GRIM,0.218913,5.99985,2.64769,9.35201,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
39,ALLC,0.260836,5.99999,2.64775,9.35222,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
39,CAUTIOUS,0.00011299,4.92917,2.17108,7.68725,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
39,CONTRITE,0.260068,5.99999,2.64775,9.35222,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
39,PAVLOV,0.260068,5.99999,2.64775,9.35222,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
39,GRIM,0.218915,5.99988,2.64771,9.35206,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
40,ALLC,0.260842,5.99999,2.64775,9.35223,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
40,CAUTIOUS,9.28263e-05,4.92916,2.17107,7.68724,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
40,CONTRITE,0.260074,5.99999,2.64775,9.35223,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
40,PAVLOV,0.260074,5.99999,2.64775,9.35223,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
40,GRIM,0.218917,5.9999,2.64771,9.35209,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
41,ALLC,0.260847,5.99999,2.64775,9.35223,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
